Genes	Proteins	N duplicates	Score	Raw DMSO	Raw 3nM	Raw 10nM	Raw 30nM	Raw 100nM	Raw 300nM	Raw 1000nM	Raw 3000nM	Raw 30000nM	Peptides	Name	Imputation N	Imputation Position	Ratio DMSO	Ratio 3nM	Ratio 10nM	Ratio 30nM	Ratio 100nM	Ratio 300nM	Ratio 1000nM	Ratio 3000nM	Ratio 30000nM	Signal Quality	pEC50	Curve Slope	Curve Front	Curve Back	Curve Fold Change	Curve AUC	Curve RMSE	Curve R2	pEC50 Error	Curve Slope Error	Curve Front Error	Curve Back Error	Null Model	Null RMSE	Curve F_Value	Curve P_Value	Curve Log P_Value	Curve F_Value SAM Corrected	Curve Relevance Score	Curve Regulation
AAK1	Q2M2I8	1	323.31	603230000	576220000	611920000	706180000	711800000	708720000	686010000	498060000	582070000	43	AAK1	0		1.0	0.9552243754455183	1.0144057822057921	1.1706645889627505	1.1799811017356563	1.1748752548779073	1.1372279230144389	0.8256552227177031	0.9649221689902691	29.168132937995566	5.776332806926742	10.0	1.1029160588365423	0.8952326447257545	-0.30098844354391574	1.0378356540981015	0.08627391986977549	0.46363764839234756	6.035315773084575	264.212060838782	0.04725427004998651	0.11574860973645779	1.042283591282315	0.11789556652315775	1.9516357926626877	0.2587585542249903	0.587105284080718	0.3829317822994086	0.038185852679419645	
AARS	P49588	1	168.67	963994	963994	13981000	5577200	8575800	9673100	10033000	22833000	19442000	24	AARS	2	DMSO;3nM	1.0	1.0	14.503202302089017	5.785513187841418	8.896113461287104	10.034398554347849	10.407741127019463	23.685832069494207	20.16817532059328	19.87866464143439	5.850044591185726	4.726016396957234	7.897264825697581	21.933940409950065	1.473739545271496	12.554514104366161	4.17014594260765	0.6797941497139082	0.6476757189640402	18.730787204625923	2.287569211506748	5.593694282351536	12.219724915300302	7.543449039079746	5.112408850783601	0.04932566086322307	1.3069270873767667	2.550873665963271	0.7612399053397642	
ABCF1	Q8NE71	1	80.337	6805500	963994	4220400	4374200	963994	963994	963994	3954000	6623000	9	ABCF1	4	3nM;100nM;300nM;1000nM	1.0	0.14164925427962677	0.62014547057527	0.6427448387333774	0.14164925427962677	0.14164925427962677	0.14164925427962677	0.5810006612298876	0.9731834545588127	22.698269729733987	5.351116321939677	2.5898427742361503	0.35461154314412324	0.9285626730267947	1.382405145592532	0.47362521622709663	0.2915094932457071	0.25561988297966765	2.437977519015393	33.72921605409371	0.1624090018857002	0.5124088881426391	0.4672223880006555	0.33845714346764205	0.7830843110821899	0.6680791550225638	0.1751720786128691	0.5687055015300955	0.09674534768756797	
ABL1	P00519	1	323.31	313760000	280540000	133220000	29038000	963994	3265000	963994	963994	3402800	72	ABL1	3	100nM;1000nM;3000nM	1.0	0.8941228964813871	0.42459204487506375	0.09254844467108618	0.0030723929117797044	0.010406042835288119	0.0030723929117797044	0.0030723929117797044	0.010845232024477307	28.225086199741597	8.077739722565758	1.7740063409388676	1.014920077563329	0.004816635535915767	-7.503102597345871	0.12652366613733745	0.010381759171141106	0.9992685120759862	0.015474489534388475	0.09537262838929347	0.013464616503926087	0.006354198644769279	0.18794727229043268	0.3928015491855953	3218.722386508518	6.3671292050073724e-09	8.196056337123375	346.30073263345935	5.725311842290037	down
ABL2	P42684	1	323.31	249330000	233210000	139940000	9159000	963994	963994	963994	963994	963994	61	ABL2	5	100nM;300nM;1000nM;3000nM;30000nM	1.0	0.935346729234348	0.5612641880239041	0.03673444832150163	0.003866337785264509	0.003866337785264509	0.003866337785264509	0.003866337785264509	0.003866337785264509	27.89348124099487	7.957453007182095	2.3035233633990893	0.9766330320900627	0.0001	-13.183273875136916	0.1403776598272457	0.020148562414134083	0.9975099245032164	0.023474438369452257	0.30922557321282407	0.022809219498589123	0.012319584062405348	0.19985220406072893	0.41237348432851534	940.238050842681	1.4748199126935573e-07	6.831261007277916	353.80152478765564	5.749006015041362	down
ACAD10	Q6JQN1	1	47.863	24496000	21671000	20340000	24123000	26524000	26888000	29671000	17322000	22450000	22	ACAD10	0		1.0	0.8846750489875899	0.8303396472893534	0.984773024167211	1.0827890267798825	1.097648595689092	1.211258981058132	0.7071358589157414	0.9164761593729589	24.546042852161875	5.724285964827465	10.0	1.0127176786846988	0.8119185659987995	-0.31882510152386323	0.9524073027698228	0.1176621623152047	0.3339160841084342	9.400998237445448	455.57890024850036	0.06444635362148961	0.15786035603893503	0.9564740554187812	0.14465697924154503	1.150851363172247	0.4856960511464812	0.31363542745606543	0.31491677005371793	0.021485909317506716	
ACADVL	P49748	1	57.891	20788000	18953000	25007000	22551000	19352000	21112000	19432000	29735000	26925000	19	ACADVL	0		1.0	0.9117279199538195	1.2029536270925534	1.0848085433904175	0.9309216855878392	1.0155859149509332	0.934770059649798	1.4303925341543198	1.295218395228016	24.309247628329988	5.757497392126463	10.0	1.0176522385125306	1.363073949882183	0.4216191991674505	1.1242682599831506	0.09088289332221053	0.7201011584929391	3.2943656385751257	137.47361711306598	0.04977871381186418	0.12193219651258111	1.1169720696851733	0.17395100111377593	5.992749350784129	0.03571584680368167	1.4471390485267985	0.9050971548214377	0.22133111483697318	
ACAT1	P24752	1	230.15	963994	11085000	22928000	15426000	18181000	15306000	13025000	33526000	37570000	16	ACAT1	1	DMSO	1.0	11.499034226354105	23.78438040070789	16.00217428739183	18.860075892588544	15.87769218480613	13.511494884822934	34.77822476073503	38.97327161787314	19.87866464143439	5.7029131534308215	5.450790731253941	15.937668389348202	37.529757907920576	1.2355940921839337	22.30752069230866	6.001334294573139	0.7049796307321399	0.6088963315869582	16.70691926081088	3.2887302309142186	8.051728551714138	21.899014931628205	11.335793919987875	5.777693154472422	0.03850699963842987	1.414460319113883	2.4775868397044847	0.7412027387984866	
ACLY	P53396	1	184.84	40174000	45828000	50372000	43520000	39350000	46154000	44988000	61701000	52498000	44	ACLY	0		1.0	1.140737790610843	1.2538457708965998	1.083287698511475	0.9794892218848011	1.1488524916612735	1.1198287449594264	1.5358440782595708	1.306765569771494	25.259758777396378	5.799050868594108	10.0	1.1134190460148492	1.4211858180322092	0.35209853014727954	1.2116098897475547	0.09416473475774331	0.6617727747464698	6.266340422473909	308.66782376192106	0.051576256740406945	0.12633524876963764	1.2048004641348595	0.16476256733781575	4.638474329786636	0.05976196280681665	1.2235751471001082	0.6568915038559562	0.128256266093834	
ACO2	Q99798	1	83.52	963994	963994	5881600	963994	7543300	5441400	963994	15189000	9740200	19	ACO2	4	DMSO;3nM;30nM;1000nM	1.0	1.0	6.101282788067146	1.0	7.825048703622636	5.6446409417486	1.0	15.756322134785071	10.104004796710353	19.87866464143439	5.7620185769595	10.0	3.760177517299424	12.934182023440625	1.7823161407710848	6.602146117190387	2.836790563201518	0.6602518252874622	3.9392728000116737	164.74214262575086	1.553777400155268	3.805953923460435	6.407777793382371	4.952200317808454	4.606845728196945	0.060563533445115496	1.2177887948199095	2.6189724355223	0.7795678029295048	
