Name	N duplicates	Raw 0	Raw 1	Raw 2	Raw 3	Raw 4	Raw 5	Raw 6	Raw 7	Raw 8	Raw 9	Raw 10	Raw 11	Raw 12	Raw 13	Raw 14	Raw 15	Raw 16	Ratio 0	Ratio 1	Ratio 2	Ratio 3	Ratio 4	Ratio 5	Ratio 6	Ratio 7	Ratio 8	Ratio 9	Ratio 10	Ratio 11	Ratio 12	Ratio 13	Ratio 14	Ratio 15	Ratio 16	Signal Quality	pEC50	Curve Slope	Curve Front	Curve Back	Curve Fold Change	Curve AUC	Curve RMSE	Curve R2	pEC50 Error	Curve Slope Error	Curve Front Error	Curve Back Error	Null Model	Null RMSE	Curve F_Value	Curve P_Value	Curve Log P_Value	Curve F_Value SAM Corrected	Curve Relevance Score	Curve Regulation
2004_NPC-26	1	1.0	0.8911	0.9359	0.9358	0.9374	0.9273	0.8686	0.8344	0.8737	0.9991	1.011	0.8101999999999999	0.9381	0.9149	0.9998		0.9438	1.0	0.8911	0.9359	0.9358	0.9374	0.9273	0.8686	0.8344	0.8737	0.9991	1.011	0.8101999999999999	0.9381	0.9149	0.9998		0.9438	0.0	5.193971649090907	10.0	0.9159540633485224	0.9718298473903592	-0.04122435379090347	0.9257882628842753	0.0553371637988566	0.08334200523744784	2.282498343381992	206.685836492079	0.017725039487162426	0.06389650397487269	0.9253074468085107	0.05780690276759875	0.3650135920535593	0.9336346411042417	0.02982304282246012	0.030713352782599613	-0.0	not
22RV1_CIL70	1	1.0	0.9912	1.107	1.039	1.065	1.103	1.044	1.046	0.9997	1.026	1.086	0.9857	1.105	1.043	0.9746	0.91	0.0472	1.0	0.9912	1.107	1.039	1.065	1.103	1.044	1.046	0.9997	1.026	1.086	0.9857	1.105	1.043	0.9746	0.91	0.0472	0.0	4.566654519556129	6.484216602517772	1.0423906501684024	0.0001	-3.684268423842385	1.002315031895158	0.04149818691837532	0.9694695564047314	1.0998060397787566	44.54514580919837	0.012703541162257284	2.620728624731424	0.9832916666666668	0.23764950912444885	135.13130555420022	7.322834920470968e-10	9.135320756104392	57.43471910789502	7.0481854145524805	down
23132-87_CIL70	1	1.0	1.04	1.033	0.9996	1.001	1.033	1.024	1.016	1.026	0.9533	0.995	0.9075	1.021	1.103	0.9912	0.9092	0.7975	1.0	1.04	1.033	0.9996	1.001	1.033	1.024	1.016	1.026	0.9533	0.995	0.9075	1.021	1.103	0.9912	0.9092	0.7975	0.0	4.673285252543083	3.7576776603685813	1.0103097785848334	0.7823114521384176	-0.3190759706717495	0.9959151012405719	0.038872351971807106	0.657991950408313	0.19107733262447466	6.026605236686724	0.012031178770833812	0.11752877649842733	0.9923364583333333	0.06647935257962541	8.180278408629066	0.0017268550735829453	2.7627441090939704	1.2915129740473628	0.42061821216346196	not
23132-87_NPC-26	1	1.0		1.007	1.034	1.032	1.003	1.09		1.015	0.9785	1.112	1.121	1.014	1.03	1.071	1.029	1.164	1.0		1.007	1.034	1.032	1.003	1.09		1.015	0.9785	1.112	1.121	1.014	1.03	1.071	1.029	1.164	0.0	4.532383560580619	10.0	1.0413295396680222	1.1697665101383565	0.21934759443577864	1.0454780422756482	0.04068549918088793	0.369340104216452	476.1585921043698	26381.385518785562	0.013717315113037564	106.35796349810146	1.0482351171338375	0.05125508024851068	2.2014913358402457	0.1516775995415716	0.819078553121112	0.49333514339171664	0.06762403438164341	not
253J-BV_CIL70	1	1.0	1.306	1.266	1.182	1.212	1.2819999999999998	1.329	1.165	1.231	1.171	1.032	1.056	1.145	1.106	1.257	1.143	0.9252	1.0	1.306	1.266	1.182	1.212	1.2819999999999998	1.329	1.165	1.231	1.171	1.032	1.056	1.145	1.106	1.257	1.143	0.9252	0.0	6.51242591898451	7.686243005097954	1.2347976794818012	1.1005241576346425	0.13819081421372817	1.17202361763676	0.09276506983887976	0.2852847495011367	0.19982342144905538	158.11016996394721	0.03686274678268277	0.04129701420636381	1.1731041666666666	0.11001328559568241	1.7273715042381477	0.23394255977368306	0.6308907624000581	0.2537160230971549	0.008205470447815342	
253J-BV_NPC-26	1	1.0	1.355	1.35	1.374	1.436	1.241	1.298	1.025	1.329	1.267	0.9219	1.017	1.165	1.142	0.3497			1.0	1.355	1.35	1.374	1.436	1.241	1.298	1.025	1.329	1.267	0.9219	1.017	1.165	1.142	0.3497			0.0	5.145421233633178	6.289811786328618	1.2233571000005572	0.2426553137858162	-1.518429495638081	1.184999747593503	0.15194497277483265	0.6665283401777606	6.42209136505682	205.66941114344667	0.051309910427703435	17.227156135755894	1.1657011904761905	0.2635116343652813	7.528677679554184	0.003816250492744157	2.418363126618325	4.474219759647283	1.6375494708883784	down
253J_CIL70	1	1.0	1.021	1.155	1.024	1.054	1.011	1.031	0.7572	0.9655	1.081	1.068	1.152	1.078	0.8602	0.9971	0.5759000000000001	0.11	1.0	1.021	1.155	1.024	1.054	1.011	1.031	0.7572	0.9655	1.081	1.068	1.152	1.078	0.8602	0.9971	0.5759000000000001	0.11	0.0	4.662609563300539	3.1204654053773346	1.0227750111596632	0.0001	-2.910897421313222	0.9585506675848374	0.09247379799670748	0.8622161619167354	0.14522489441494132	2.376418287775639	0.028878098127766618	0.3595258903396656	0.9428583333333332	0.2491796850900998	26.60864167113327	5.739257396127552e-06	5.241144297432669	15.748468335301501	4.079746841809538	down
253J_NPC-26	1	1.0	1.038	1.109	0.8601000000000001	1.12	1.285	1.158	1.229	0.8565999999999999	1.14	0.978	1.189	1.111	0.8623000000000001	0.9005	1.204	0.912	1.0	1.038	1.109	0.8601000000000001	1.12	1.285	1.158	1.229	0.8565999999999999	1.14	0.978	1.189	1.111	0.8623000000000001	0.9005	1.204	0.912	0.0	5.5004785513957835	10.0	1.0876078673052332	0.976582698043783	-0.034185876676514654	1.0605433503864552	0.12875244913193404	0.11787585805378487	2.321552454925466	222.9224878700288	0.04250810377895778	0.08506108039950115	1.0600520833333333	0.1371442322274686	0.572064633139412	0.8038747628109811	0.09481160555086104	0.025422993354408372	-0.0	
42-MG-BA_NPC-26	1	1.0	0.8903	0.8704999999999999	0.987	0.9879	0.9104	0.9155	1.005	0.9525	0.9736	0.9868	0.9707	0.8798999999999999	0.9223	0.9511		1.06	1.0	0.8903	0.8704999999999999	0.987	0.9879	0.9104	0.9155	1.005	0.9525	0.9736	0.9868	0.9707	0.8798999999999999	0.9223	0.9511		1.06	0.0	4.699643538969093	3.9012169309726707	0.944710027424975	1.065030422526418	0.08069219638450045	0.9529268676786297	0.042518527178328824	0.2919096767942011	12.154502399391623	137.79756002051397	0.013768809830216595	1.5382175270979357	0.9537542553191489	0.05052866173178957	1.649098645593473	0.2597665291539733	0.5854168083830322	0.12326688263513289	1.0658099949806059e-06	not
5637_CIL70	1	1.0	1.194	1.175	1.078	1.105	1.142	1.128	1.115	1.01	1.102	1.132		1.143	1.111	0.8916	0.4866	0.0561	1.0	1.194	1.175	1.078	1.105	1.142	1.128	1.115	1.01	1.102	1.132		1.143	1.111	0.8916	0.4866	0.0561	0.0	4.758771037252824	2.6965457360360716	1.1177967004686742	0.0001	-3.2162496874115223	1.0246031066276784	0.0520927695611038	0.9680992727434722	0.060668032357343374	0.7143293493502794	0.017290413247509018	0.13470256021123178	1.005473814213457	0.2919790860776775	121.6633362275258	4.109277258949428e-09	8.386234555265382	49.18848952810361	6.334578868252572	down
