Name	Raw 0	Raw 1	Raw 2	Raw 3	Raw 4	Raw 5	Raw 6	Raw 7	Raw 8	Raw 9	Raw 10	Raw 11	Raw 12	Raw 13	Raw 14	Raw 15	Raw 16
CAS-1_CIL70	1.0	1.203	1.196	1.252	1.107	1.192	1.111	1.09	1.175	1.186	1.21	1.056	1.069	1.084	1.071	0.6945999999999999	0.02688
KPL-1_CIL70	1.0	1.123	1.055	1.126	1.123	1.033	1.069	1.088	1.104	1.087	1.096	0.9583	1.013	1.011	0.6017	0.01816	0.01498
MKN1_CIL70	1.0	1.109	1.1	1.121	1.109	1.064	1.008	1.054	1.126	1.115	1.096	1.033	1.039	1.086	1.004	0.8037000000000001	0.04508
253J-BV_CIL70	1.0	1.306	1.266	1.182	1.212	1.2819999999999998	1.329	1.165	1.231	1.171	1.032	1.056	1.145	1.106	1.257	1.143	0.9252
BFTC-905_CIL70	1.0	1.368	1.445	1.308	1.375	1.384	1.391	1.3090000000000002	1.339	1.167	1.37	1.288	1.383	1.3159999999999998	1.3130000000000002	1.342	0.1967
BFTC-909_CIL70	1.0	1.141	1.301	1.154	1.053	1.314	1.329	1.196	1.221	1.257	1.119	1.127	1.242	1.224	1.061	1.063	0.145
CADO-ES1_CIL70	1.0	1.015	1.222	0.9544	0.985	1.305	1.17	1.241	1.079	1.152	1.172	1.069	0.9726	0.9949	0.0821	0.03796	0.0332
CAL-120_CIL70	1.0	1.283	1.196	1.266	1.352	1.3159999999999998	1.324	1.297	1.3090000000000002	1.138	1.249	1.216	1.244	1.249	1.209	1.152	0.5078
CAL-29_CIL70	1.0	0.9955	1.043	1.115	1.096	1.028	1.0590000000000002	1.072	1.101	1.102	1.077	1.094	1.165	1.073	1.079	0.9694	0.5807
CAL-62_CIL70	1.0	1.199	1.164	1.2	1.213	1.218	1.222	1.204	1.19	1.214	1.183	1.159	1.218	1.195	1.132	1.032	0.1375
HuCCT1_CIL70	1.0	1.2	1.155	1.221	1.235	1.179	1.15	1.242	1.216	1.187	1.114	1.081	1.105	1.233	1.197	1.104	0.8591
NMC-G1_CIL70	1.0	1.228	1.212	1.186	1.162	1.268	1.195	1.149	1.102	1.137	1.123	1.148	1.146	0.8886	1.086	0.924	0.7815000000000001
RPMI-7951_CIL70	1.0	1.1840000000000002	1.189	1.166	1.163	1.147	1.111	1.154	1.219	1.087	1.155	1.077	1.195	1.036	0.7465999999999999	0.1603	0.09605
253J_CIL70	1.0	1.021	1.155	1.024	1.054	1.011	1.031	0.7572	0.9655	1.081	1.068	1.152	1.078	0.8602	0.9971	0.5759000000000001	0.11
ALL-SIL_CIL70	1.0	1.182	0.9911	1.186	1.123	1.218	1.233	1.155	1.154	1.217	1.297	1.107	1.118	0.4452	0.4354	0.01641	0.01916
HDQ-P1_CIL70	1.0	1.089	0.9436	0.9713	1.032	1.12	1.155	1.016	1.219	1.085	0.7312000000000001	1.109	1.15	1.179	1.247	0.9855	1.233
SNU-489_CIL70	1.0	1.043	1.087	1.061	1.055	1.0759999999999998	1.093	0.8929	1.069	1.022	1.064	1.054	1.048	1.04	0.8795000000000001	0.9836	0.4090999999999999
SNU-626_CIL70	1.0	1.09	1.157	1.068	1.02	0.8312	1.086	0.7793000000000001	1.167	1.087	0.9544	1.023	1.056	0.8855	1.039	0.875	0.1094
SNU-738_CIL70	1.0	1.163	1.105	1.058	1.093	1.052	1.163	0.8504999999999999	1.164	1.099	0.957	1.067	1.107	1.159	1.145	1.157	0.5661
SNU-878_CIL70	1.0	1.155	1.3259999999999998	0.9024	1.08	0.9313	1.198	1.055	0.9359	1.074	1.148	1.0759999999999998	0.9951	1.061	1.055	1.007	0.6362
TUHR4TKB_CIL70	1.0	1.041	1.135	1.044	1.026	1.028	1.073	0.9088	0.9505	1.019	0.7791	1.054	1.063	0.8201999999999999	1.003	0.8088	0.9621
ACC-MESO-1_CIL70	1.0	0.9921	1.073	0.955	1.023	1.013	1.106	0.9646	0.9895	1.003	0.93	0.9941	1.002	0.978	0.9989	0.9996	0.9512
BCPAP_CIL70	1.0	0.9691	0.99	0.9702	0.9907	1.009	0.9917	1.022	1.058	1.012	1.038	0.9778	0.9785	1.008	0.7926000000000001	0.05479	0.03136
CGTH-W-1_CIL70	1.0	0.965	0.9788	0.9857	1.003	0.9797	0.9899	0.9829	0.9969	0.9975	0.99	0.9698	1.013	0.9787	0.9527	0.3565	0.0252
COLO-680N_CIL70	1.0	0.9984	0.9972	1.006	0.9493	0.9922	0.9906	0.9996	0.9169	1.025	1.022	1.017	1.044	1.017	1.004	0.9654	0.6667000000000001
ECC12_CIL70	1.0	1.017	1.0659999999999998	0.9892	1.033	1.062	1.033	1.021	1.016	1.068	1.029	1.004	1.018	1.02	0.9676	0.9131	0.7857
HCC-95_CIL70	1.0	1.056	1.033	1.001	1.08	1.064	1.018	1.0659999999999998	1.057	1.075	1.057	0.927	1.072	1.084	1.053	0.9831	0.1176
JMSU-1_CIL70	1.0	0.9313	1.102	1.041	1.037	0.9714	0.9434	1.16	0.9913	1.058	1.054	1.052	1.0759999999999998	1.101	1.001	0.336	0.03753
RH-41_CIL70	1.0	1.145	1.084	1.0759999999999998	1.138	1.134	1.132	1.086	1.038	1.078	1.028	1.01	0.9801	1.007	0.919	0.5584	0.1159
SNU-175_CIL70	1.0	1.216	1.182	1.115	1.187	0.8762000000000001	0.9083	1.208	0.8943000000000001	1.306	1.106	1.3230000000000002	1.288	1.204	1.325	0.985	0.6047
WSU-DLCL2_CIL70	1.0	0.9906	0.9829	1.028	1.016	1.0	1.006	0.9406	1.02	0.9866	0.8467	0.2487	0.1898	0.06399	0.04504	0.03163	0.0438999999999999
23132-87_CIL70	1.0	1.04	1.033	0.9996	1.001	1.033	1.024	1.016	1.026	0.9533	0.995	0.9075	1.021	1.103	0.9912	0.9092	0.7975
8305C_CIL70	1.0	0.9642	0.9054	0.9757	0.9573	1.014	1.003	0.8998999999999999	1.015	0.9611	0.9227	0.7885	0.8242	0.7683	0.2506	0.05141	0.03008
BHY_CIL70	1.0	1.0490000000000002	1.006	0.9482	0.9436	0.9729	0.9808	0.8973	0.9531	0.9711	0.9849	0.8889	0.9597	0.9746	0.9762	0.9471	0.7273999999999999
GSU_CIL70	1.0	0.9363	0.9982	0.9297	0.9868	0.9982	1.091	1.036	1.045	0.8942	0.9592	0.8161	0.9107	0.9839	0.9235	0.9886	0.9786
JIMT-1_CIL70	1.0	0.9981	1.013	0.9737	0.9755	1.009	1.011	0.9896	1.002	0.9677	0.949	0.8787999999999999	0.9776	0.9842	0.9474	0.9427	0.2422
KMRC-20_CIL70	1.0	0.9496	0.9543	0.9198	0.9378	0.9755	1.003	0.9427	0.9627	0.9562	0.9903	0.8863	0.958	0.9318	0.8683	0.5997	0.4585
OUMS-23_CIL70	1.0	0.9747	0.9952	0.9622	0.9354	0.9683	1.006	0.9781	1.01	0.9425	0.9517	0.9486	0.9733	0.9495	0.9633	0.8427	0.115
SNU-1076_CIL70	1.0	0.7827	0.9926	0.9431	0.9683	1.002	1.004	0.9738	0.9976	1.009	0.9891	1.125	0.9843	0.9982	0.9619	0.9035	0.3663
SNU-1196_CIL70	1.0	0.9662	0.9836	0.9906	0.9881	0.9912	1.024	1.017	1.017	0.9887	1.007	0.9027	0.9745	0.971	0.9276	0.8154	0.2439
SNU-8_CIL70	1.0	1.022	0.9768	0.9569	0.9912	0.9886	0.9912	0.9027	0.99	0.8856	0.8933	0.4624	0.6589	0.3143	0.06236	0.02521	0.02138
A375_CIL70	1.0	0.9578	1.016	0.9444	0.9611	0.9607	0.9865	0.9824	1.039	1.01	1.03	0.9093	0.9545	0.9646	1.045	0.3878	0.03766
A549_CIL70	1.0	0.9177	0.9373	0.8748999999999999	0.8375	0.9362	0.9457	1.008	0.9502	0.994	1.015	0.8031999999999999	0.9716	1.036	1.012	1.005	0.04549
NCI-H2009_CIL70	1.0	1.106	1.192	1.052	1.069	1.068	1.147	1.033	1.056	0.958	0.9246	1.069	1.002	0.9704	0.92	0.5897	0.0596999999999999
SNU-201_CIL70	1.0	1.083	1.095	1.075	1.112	1.099	1.08	1.055	1.065	1.032	1.011	1.127	1.02	1.007	1.05	1.042	0.04321
SUIT-2_CIL70	1.0	0.9249	1.003	0.9007	0.9326	1.005	1.068	1.015	1.024	0.9102	0.9795	0.8865000000000001	0.9405	1.026	1.003	1.008	0.9367
DEL_CIL70	1.0	1.106	1.157	1.067	1.075	1.122	1.101	1.074	1.063	1.013	1.056	1.041	1.031	1.057	1.008	0.04155	0.02954
HARA_CIL70	1.0	0.9947	1.055	1.017	0.9898	1.103	1.02	1.048	1.028	0.9806	1.01	0.9949	0.9542	1.014	1.044	1.0	0.9089
HCC-15_CIL70	1.0	1.0659999999999998	1.053	0.7963	1.007	1.056	1.042	1.094	1.0759999999999998	1.002	0.9877	0.9412	0.9488	0.9914	0.8833	0.6553	0.06973
KP-4_CIL70	1.0	1.052	1.046	1.032	1.056	1.047	1.017	0.995	1.025	1.038	1.019	0.7059000000000001	0.7372	0.2717	0.02369	0.0153	0.01659
