Name	N duplicates	Raw 0	Raw 1	Raw 2	Raw 3	Raw 4	Raw 5	Raw 6	Raw 7	Raw 8	Raw 9	Raw 10	Raw 11	Ratio 0	Ratio 1	Ratio 2	Ratio 3	Ratio 4	Ratio 5	Ratio 6	Ratio 7	Ratio 8	Ratio 9	Ratio 10	Ratio 11	Signal Quality	pEC50	Curve Slope	Curve Front	Curve Back	Curve Fold Change	Curve AUC	Curve RMSE	Curve R2	pEC50 Error	Curve Slope Error	Curve Front Error	Curve Back Error	Null Model	Null RMSE	Curve F_Value	Curve P_Value	Curve Log P_Value	Curve F_Value SAM Corrected	Curve Relevance Score	Curve Regulation
A204 AZD-0156 1	1	1	1.1093	1.141	1.1272	1.1377	1.114	1.0987	0.8907	0.9034	0.7248		0.7048	1.0	1.1093	1.141	1.1272	1.1377	1.114	1.0987	0.8907	0.9034	0.7248		0.7048	0.0	6.705334504249074	1.0726837854404399	1.1251601334885992	0.6963791588102725	-0.5091444261675846	0.9713346626629663	0.05089853697224962	0.895862137890208	0.24722942072852333	0.5435804090244764	0.029656777419734697	0.07010899724068707	0.9805422159451036	0.15844229963992995	23.897984668876585	0.000358887870231701	3.4450412197956557	4.974115792891594	1.483610370479633	down
A204 AZD-0156 2	1	1	1.1058	1.0797	1.0699	1.1111	1.0388	1.0214	0.9467	0.8006	0.7112	0.659	0.5748	1.0	1.1058	1.0797	1.0699	1.1111	1.0388	1.0214	0.9467	0.8006	0.7112	0.659	0.5748	0.0	6.462348615192119	0.8655527113689861	1.0850402565951658	0.5721197422855387	-0.7405629660050103	0.9250026277308147	0.03059149553442208	0.9715795744296757	0.1703727653654887	0.23927983572174286	0.018273162286286105	0.054865263499833936	0.9247484848484848	0.18147116315781756	102.56867787565781	9.263563098650303e-07	6.033221935948215	13.518164437006414	2.8871413113942483	down
A204 AZD-0156 3	1	1	1.0336	1.0875	1.0257	1.058	0.9703	0.9214	0.9197	0.8161	0.6756	0.8735	0.6052	1.0	1.0336	1.0875	1.0257	1.058	0.9703	0.9214	0.9197	0.8161	0.6756	0.8735	0.6052	0.0	6.7659645097279695	0.6178580217572128	1.0586970641265085	0.6697072642040381	-0.5168847112777084	0.9109950654252207	0.06332776326989412	0.8087703492648237	0.6723462870141255	0.49247192724271815	0.05084348375697346	0.13428391725246788	0.9133454545454546	0.144832774331852	12.69157931305908	0.0015969265982844366	2.7967150454724408	3.5746450107099523	1.2045473999537213	
A204 AZD-3759 1	1	1	1.0603	1.1138	1.1249	1.0947	1.0626	1.0765	1.0215	1.017	0.9789	0.9286	0.8503	1.0	1.0603	1.1138	1.1249	1.0947	1.0626	1.0765	1.0215	1.017	0.9789	0.9286	0.8503	0.0	5.040329309052682	0.5143212230146695	1.0915360309199755	0.6314009446396376	-0.2243586996093574	1.0334024331957081	0.03237030784285115	0.8219089810454965	2.992407371827851	0.5022707014977525	0.023549959001196753	0.854003697678211	1.0312727272727271	0.07680182428496488	13.887706307461858	0.001185712923271844	2.926020446663607	1.4166297797151257	0.44669793359981647	not
A204 AZD-3759 2	1	1	1.0532	1.0882	1.0952	1.0485	1.1155	1.1261	1.0871	1.0496	1.0163	0.9268	0.9135	1.0	1.0532	1.0882	1.0952	1.0485	1.1155	1.1261	1.0871	1.0496	1.0163	0.9268	0.9135	0.0	5.879580095728314	1.6289466423611614	1.0835515731152092	0.9036702782328475	-0.1359437439438979	1.0500141397756713	0.03243688351610083	0.7566606984080918	0.3125952450862419	1.5727201839802865	0.01457895714186545	0.0568678845651485	1.0477772727272727	0.06590563319038743	9.384774004125312	0.004211657176588457	2.3755469870533394	0.6198252727791772	0.11406934685362789	not
A204 AZD-3759 3	1	1	1.0408	1.1062	1.04	1.0872	0.9731	1.0348	1.0022	1.0398	1.0878	1.008	0.8845	1.0	1.0408	1.1062	1.04	1.0872	0.9731	1.0348	1.0022	1.0398	1.0878	1.008	0.8845	0.0	5.283421033053809	3.57812018464718	1.0434495518681255	0.8701066433585833	-0.17558951569011488	1.032741405044993	0.03715418372681746	0.5759246434559105	4.5552958794709895	65.19829154465688	0.015237029109697773	1.2263735034833065	1.0288045454545456	0.057157497899363176	4.099899873953058	0.044621838003425375	1.3504525448028484	0.6668941013887836	0.1321423284737922	not
A204 AZD-4547 1	1	1	1.0492	1.0519	1.0444	1.0036	1.0244	0.907	0.7238	0.6068	0.5205	0.4514	0.2612	1.0	1.0492	1.0519	1.0444	1.0036	1.0244	0.907	0.7238	0.6068	0.5205	0.4514	0.2612	0.0	6.505506436733401	0.6457388250631577	1.0633560874813375	0.24581432967038264	-1.623345320390257	0.7945163789861688	0.039883762104434554	0.9778416133842255	0.2240373475825264	0.1640906777521951	0.029193916963518664	0.10197668031153989	0.7962848484848484	0.26803564868677854	132.4921512719236	3.5688191911457934e-07	6.447475454363416	36.32930027388043	4.379741053596331	down
A204 AZD-4547 2	1	1	1.0377	1.0766	1.0185	0.9971	0.9688	0.783	0.6943	0.6646	0.6126	0.4654	0.2786	1.0	1.0377	1.0766	1.0185	0.9971	0.9688	0.783	0.6943	0.6646	0.6126	0.4654	0.2786	0.0	5.944855327404557	0.38031107610178805	1.090640273591105	0.0001	-1.5914618034034789	0.788915282765638	0.05042830695743901	0.9585840021039633	0.9838183636250883	0.15116978411294923	0.052405901934897234	0.44818255418000624	0.7919227272727273	0.2479178552278382	69.50836152812337	3.913470528791039e-06	5.407437932377283	24.86040572721048	3.793159788771006	down
A204 AZD-4547 3	1	1	1.0269	1.049	1.0453	1.0564	1.0563	0.8338	0.7231	0.604	0.5352	0.4709	0.2808	1.0	1.0269	1.049	1.0453	1.0564	1.0563	0.8338	0.7231	0.604	0.5352	0.4709	0.2808	0.0	6.663199593922094	0.6877228198456498	1.0670155432510335	0.3098973314574806	-1.471437548972057	0.7967773911619384	0.05065907339647955	0.9632503733923018	0.24495815115658337	0.22037462578574496	0.03657672605780997	0.10162892402139208	0.7997348484848484	0.26435425401997464	78.69197166330441	2.4749665223884026e-06	5.606430671170944	25.019892429691634	3.8029304020870316	down
A204 Abemaciclib 1	1	1	1.0851	1.0741	1.0182	1.062	0.9901	0.9075	0.8622	0.5893	0.4447	0.4095	0.366	1.0	1.0851	1.0741	1.0182	1.062	0.9901	0.9075	0.8622	0.5893	0.4447	0.4095	0.366	0.0	6.653092493304156	1.0177933205866032	1.0510621600557983	0.35254816194833016	-1.4470802950460064	0.8077194005304497	0.03214654521232092	0.9857802041526548	0.09587105679799515	0.19797050343858738	0.018488829268372815	0.04040083670966772	0.8091075757575757	0.26970722755007076	208.17271902164123	6.574977953878775e-08	7.1821056990397025	40.07387945804884	4.533436664208533	down
