Name	Raw 0	Raw 1	Raw 2	Raw 3	Raw 4	Raw 5	Raw 6	Raw 7	Raw 8	Raw 9	Raw 10	Raw 11
A204 AZD-0156 1	1	1.1093	1.141	1.1272	1.1377	1.114	1.0987	0.8907	0.9034	0.7248		0.7048
A204 AZD-0156 2	1	1.1058	1.0797	1.0699	1.1111	1.0388	1.0214	0.9467	0.8006	0.7112	0.659	0.5748
A204 AZD-0156 3	1	1.0336	1.0875	1.0257	1.058	0.9703	0.9214	0.9197	0.8161	0.6756	0.8735	0.6052
A204 AZD-3759 1	1	1.0603	1.1138	1.1249	1.0947	1.0626	1.0765	1.0215	1.017	0.9789	0.9286	0.8503
A204 AZD-3759 2	1	1.0532	1.0882	1.0952	1.0485	1.1155	1.1261	1.0871	1.0496	1.0163	0.9268	0.9135
A204 AZD-3759 3	1	1.0408	1.1062	1.04	1.0872	0.9731	1.0348	1.0022	1.0398	1.0878	1.008	0.8845
A204 AZD-4547 1	1	1.0492	1.0519	1.0444	1.0036	1.0244	0.907	0.7238	0.6068	0.5205	0.4514	0.2612
A204 AZD-4547 2	1	1.0377	1.0766	1.0185	0.9971	0.9688	0.783	0.6943	0.6646	0.6126	0.4654	0.2786
A204 AZD-4547 3	1	1.0269	1.049	1.0453	1.0564	1.0563	0.8338	0.7231	0.604	0.5352	0.4709	0.2808
A204 Abemaciclib 1	1	1.0851	1.0741	1.0182	1.062	0.9901	0.9075	0.8622	0.5893	0.4447	0.4095	0.366
A204 Abemaciclib 2	1	1.0328	1.0428	1.0516	1.0266	0.9761	0.8565	0.7239	0.5436	0.3979	0.3487	0.3205
A204 Abemaciclib 3	1	1.0236	1.0044	1.036	0.9946	0.9604	0.8649	0.7234	0.5579	0.4097	0.391	0.3132
A204 Abrocitinib 1	1	1.1187	1.1426	1.1273	1.1418	1.1312	1.1235	1.1165	1.1328	1.1008	1.0429	0.9798
A204 Abrocitinib 2	1	1.0799	1.0338	1.0538	1.0285	1.0442	1.0585	1.0703	1.0374	0.9679	0.9347	0.9537
A204 Abrocitinib 3	1	1.0038	1.0076	1.0408	1.0157	1.0366	1.021	1.0295	1.0346	1.0355	1.0571	0.912
A204 Acalabrutinib 1	1	1.1158	1.0665	1.0717	1.1257	1.1255	1.0699	1.1182	1.0983	1.1129	0.9868	0.9148
A204 Acalabrutinib 2	1	1.0615	1.0868	1.0678	1.0716	1.1354	1.1099	1.0616	1.03	1.0425	1.0208	0.8838
A204 Acalabrutinib 3	1	1.0228	1.0678	1.0263	1.0731	1.0456	1.0809	1.0331	1.024	1.0046	1.0395	0.8178
A204 Afatinib 1	1	1.0504	0.9442	0.9883	0.9522	1.0673	0.9561	0.9027	0.6688	0.3313	0.1648	0.0039
A204 Afatinib 2	1	0.9859	1.0499	1.0178	1.0699	1.0476	0.9897	0.8643	0.5757	0.359	0.1995	0.0053
A204 Afatinib 3	1	0.9417	1.007	1.0704	0.9048	0.9187	0.8885	0.8111	0.5391	0.3294	0.1603	0.0083
A204 Alectinib 1	1	1.1052	1.0411	1.068	1.0562	1.09	1.0805	1.1195	1.13	1.107	1.1028	1.0733
A204 Alectinib 2	1	1.0823	1.0951	1.0991	1.1157	1.0882	1.0939	1.1078	1.1213	1.106	1.1387	1.1466
A204 Alectinib 3	1	1.0783	1.0777	1.1121	1.1222	1.0689	1.0945	1.1482	1.1488	1.0979	1.174	1.2126
A204 Alisertib 1	1	1.1037	1.0626	1.0471	1.0295	1.0516	1.0388	0.7704	0.8149	0.754	0.7311	0.7616
A204 Alisertib 2	1	1.0882	1.0782	1.0921	1.0176	1.052	1.0341	0.8686	0.7528	0.7111	0.7318	0.6747
A204 Alisertib 3	1	1.0245	1.0783	1.0684	1.0452	1.1125	1.0992	1.0063	0.819	0.8391	0.72	0.6962
A204 Alpelisib 1	1	0.9875	1.0278	1.0278	1.088	0.9616	0.8906	0.9302	0.7748	0.6481	0.6151	0.4458
A204 Alpelisib 2	1	0.9444	0.9822	0.9981	0.9786	0.998	0.9255	0.8548	0.7645	0.6255	0.5126	0.3861
A204 Alpelisib 3	1	0.8953	0.9545	0.9889	0.9896	0.9891	0.9596	0.899	0.7631	0.6793	0.5443	0.4114
A204 Anlotinib 1	1	1.106	1.0778	1.0428	1.0611	1.0517	1.0162	0.8007	0.4614	0.3647	0.1779	0.0679
A204 Anlotinib 2	1	1.0805	1.0605	1.0063	1.0777	1.0065	0.9564	0.8767	0.474	0.3901	0.186	0.0658
A204 Anlotinib 3	1	1.0497	1.0902	1.0899	1.0053	1.0877	1.0186	0.8081	0.4902	0.3253	0.176	0.0631
A204 Apatinib 1	1	1.0966	1.0557	1.0944	1.0951	1.0026	0.9978	0.9725	0.8886	0.5394	0.353	0.3461
A204 Apatinib 2	1	1.0078	1.0368	1.0189	1.0558	1.0102	1.0536	0.9927	0.7857	0.4751	0.371	0.3512
A204 Apatinib 3	1	0.9991	1.0053	1.04	1.0629	1.0335	0.9867	1.0105	0.758	0.4321	0.3606	0.3282
A204 Asciminib 1	1	1.047	1.0533	1.0752	1.0832	1.0235	1.0677	1.1035	1.0214	1.0627	0.8723	0.409
A204 Asciminib 2	1	1.0181	1.0815	1.0146	1.0147	1.0627	1.0447	1.0424	1.1025	1.0644	0.7958	0.4272
A204 Asciminib 3	1	0.9907	0.9975	1.0503	1.0154	1.0357	1.0279	1.0218	1.0471	1.0035	0.7304	0.5117
A204 Avapritinib 1	1	1.0383	1.0847	1.0769	1.0291	1.0477	0.9699	0.7898	0.5028	0.338	0.2703	0.2206
A204 Avapritinib 2	1	1.0143	1.0412	1.0439	1.1194	1.0522	1.0145	0.7682	0.4973	0.353	0.2748	0.1978
A204 Avapritinib 3	1	0.998	1.0455	1.0323	0.9988	0.9534	0.8931	0.7519	0.5217	0.3846	0.3008	0.2162
A204 Axitinib 1	1	1.1353	1.1042	1.0522	0.9722	0.8427	0.5203	0.4546	0.3957	0.3163	0.106	0.0305
A204 Axitinib 2	1	1.0111	1.0912	1.0403	0.9089	0.7275	0.4617	0.3768	0.3111	0.2372	0.1019	0.0315
A204 Axitinib 3	1	0.9836	1.0147	0.9846	0.9451	0.7404	0.469	0.3829	0.3695	0.3131	0.2698	0.0395
A204 BAY-1895344 1	1	1.1365	1.0924	1.1473	1.1483	1.0327	0.9211	0.7177	0.4079	0.2951	0.2346	0.2207
A204 BAY-1895344 2	1	1.0656	1.0283	1.0461	1.0392	0.9851	0.883	0.6661	0.4082	0.2741	0.2344	0.2157
A204 BAY-1895344 3	1	1.0003	1.0211	1.0217	1.0455	1.0585	0.9051	0.6188	0.4769	0.3043	0.2231	0.2281
A204 BMS-986165 1	1	1.1493	1.1122	1.1122	1.0702	1.0072	1.0727	1.0773	1.1261	1.1681	0.9798	0.7616
A204 BMS-986165 2	1	1.0784	1.0878	1.0471	1.0391	1.0716	1.0408	1.0859	1.0532	1.0616	1.0265	0.7003
A204 BMS-986165 3	1	1.0621	1.0712	1.0848	1.0835	1.1005	1.0813	1.0521	1.0759	1.0988	1.0198	0.681
A204 Barasertib 1	1	1.0769	1.0771	1.0254	1.0271	0.9836	0.9337	0.8927	0.8476	0.658	0.4088	0.3887
